Exported from VCWPD Hydrologic Data Server
Requested: 04/24/2020 00:17:19
Requested daily rainfall totals for station: 508
Data Period: 2017-10-01 00:00 to 2018-10-01 00:00
Site Id: 508
Station Name: Moorpark - Home Acres ALERT (Type B)
Latitude: 34° 16' 16.6" N
Longitude: 118° 55' 29.4" W
Elevation (ft): 400
Station Type: Non-Standard Recorder
VCWPD Zone: Zone 3 (Calleguas Creek)
NCDC Station Id: None

24 Hour Total Ending At,Rainfall (in),Code,Quality Code,Publish
05/11/2018 08:00,0,,2,P
05/12/2018 08:00,0,,2,P
05/13/2018 08:00,0,,2,P
05/14/2018 08:00,0,,2,P
05/15/2018 08:00,0,,2,P
05/16/2018 08:00,0,,2,P
05/17/2018 08:00,0,,2,P
05/18/2018 08:00,0,,2,P
05/19/2018 08:00,0,,2,P
05/20/2018 08:00,0,,2,P
05/21/2018 08:00,0,,2,P
05/22/2018 08:00,0,,2,P
05/23/2018 08:00,0,,2,P
05/24/2018 08:00,0,,2,P
05/25/2018 08:00,0,,2,P
05/26/2018 08:00,0,,2,P
05/27/2018 08:00,0,,2,P
05/28/2018 08:00,0,,2,P
05/29/2018 08:00,0,,2,P
05/30/2018 08:00,0,,2,P
05/31/2018 08:00,0,,2,P
06/01/2018 08:00,0,,2,P
06/02/2018 08:00,0,,2,P
06/03/2018 08:00,0,,2,P
06/04/2018 08:00,0,,2,P
06/05/2018 08:00,0,,2,P
06/06/2018 08:00,0,,2,P
06/07/2018 08:00,0,,2,P
06/08/2018 08:00,0,,2,P
06/09/2018 08:00,0,,2,P
06/10/2018 08:00,0,,2,P
06/11/2018 08:00,0,,2,P
06/12/2018 08:00,0,,2,P
06/13/2018 08:00,0,,2,P
06/14/2018 08:00,0,,2,P
06/15/2018 08:00,0,,2,P
06/16/2018 08:00,0,,2,P
06/17/2018 08:00,0.039,,2,P
06/18/2018 08:00,0,,2,P
06/19/2018 08:00,0,,2,P
06/20/2018 08:00,0,,2,P
06/21/2018 08:00,0,,2,P
06/22/2018 08:00,0,,2,P
06/23/2018 08:00,0,,2,P
06/24/2018 08:00,0,,2,P
06/25/2018 08:00,0,,2,P
06/26/2018 08:00,0,,2,P
06/27/2018 08:00,0,,2,P
06/28/2018 08:00,0,,2,P
06/29/2018 08:00,0,,2,P
06/30/2018 08:00,0,,2,P
