ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,11/27/2012 10:55:00 PM,Chloride,n/a,=,140,mg/L,EPA 300.0,1,5,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,11/27/2012 10:55:00 PM,Fluoride,n/a,=,0.36,mg/L,EPA 300.0,0.04,0.2,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,11/21/2012 4:57:00 PM,Perchlorate,n/a,<,1.9,µg/L,EPA 314.0,1.9,4,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,11/27/2012 5:13:00 PM,Calcium,Total,=,63.8,mg/L,EPA 200.7,0.0156,0.1,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,11/27/2012 5:13:00 PM,Magnesium,Total,=,42.7,mg/L,EPA 200.7,0.0121,0.1,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,11/30/2012 4:45:00 PM,Alkalinity as CaCO3,n/a,=,180,mg/L,SM 2320 B,0.56,2,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,11/24/2012 12:30:00 PM,BOD,n/a,=,6.8,mg/L,SM 5210 B,0.1,2,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,11/27/2012 9:06:00 AM,COD,n/a,=,44,mg/L,EPA 410.4,0.73,5,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,11/27/2012 5:13:00 PM,Hardness as CaCO3,Total,=,335,mg/L,EPA 200.7,0.0885,0.662,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,11/19/2012 9:46:00 PM,MBAS,n/a,DNQ,0.03,mg/L,SM 5540 C,0.019,0.05,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,11/30/2012 2:37:00 PM,Phenolics,n/a,=,0.037,mg/L,EPA 420.4,0.0042,0.01,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,11/30/2012 11:00:00 AM,Specific Conductance,n/a,=,1200,µmhos/cm,SM 2510 B,0.23,2,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,11/19/2012 9:08:00 PM,Total Chlorine Residual,n/a,DNQ,0.026,mg/L,SM 4500-Cl G,0.003,0.1,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,11/21/2012 11:58:00 AM,Total Dissolved Solids,n/a,=,720,mg/L,SM 2540 C,4,10,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,11/26/2012 10:48:00 AM,Total Organic Carbon,n/a,=,9.4,mg/L,SM 5310 C,0.045,1.5,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,11/20/2012 7:20:00 PM,Total Suspended Solids,n/a,=,88,mg/L,SM 2540 D,5,5,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,11/19/2012 10:13:00 PM,Turbidity,n/a,=,48,NTU,EPA 180.1,0.024,0.1,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,11/20/2012 7:20:00 PM,Volatile Suspended Solids,n/a,=,13,mg/L,EPA 160.4,3.1,5,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,12/1/2012 12:52:00 AM,Aluminum,Dissolved,DNQ,4.9,µg/L,EPA 200.8,0.61,5,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,12/1/2012 12:59:00 AM,Aluminum,Total,=,2200,µg/L,EPA 200.8,0.61,5,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,12/1/2012 12:52:00 AM,Antimony,Dissolved,=,0.64,µg/L,EPA 200.8,0.04,0.5,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,12/1/2012 12:59:00 AM,Antimony,Total,=,0.67,µg/L,EPA 200.8,0.04,0.5,WKL
ME-CC,2012/13-2,Wet,11/18/2012 8:50:00 AM,12/1/2012 12:52:00 AM,Arsenic,Dissolved,=,3.6,µg/L,EPA 200.8,0.036,0.4,WKL
